EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
DrawAllocation_HashMapUsage,1,0,8992.107346500003,7991.0,9044.739052500003,8137.0,6,4
DrawAllocation_HashMapUsage,1,0,9021.788186,8203.0,9075.009303000003,8326.0,6,4
DrawAllocation_HashMapUsage,1,0,9036.555939500005,8296.0,9100.3222645,8329.0,6,4
DrawAllocation_HashMapUsage,1,0,9152.877417000002,8331.0,9109.595211500002,8338.0,6,4
DrawAllocation_HashMapUsage,1,0,9192.201922500002,8331.0,9236.892862499999,8384.0,6,4
DrawAllocation_HashMapUsage,1,0,9253.145375999999,8337.0,9242.076388499998,8401.0,6,4
DrawAllocation_HashMapUsage,1,0,9258.774115000004,8381.0,9265.996915,8428.0,6,4
DrawAllocation_HashMapUsage,1,0,9261.581490500004,8386.0,9267.2376865,8429.0,6,4
DrawAllocation_HashMapUsage,1,0,9304.266962000002,8422.0,9308.365667500002,8429.0,6,4
DrawAllocation_HashMapUsage,1,0,9342.909849500002,8432.0,9314.567201500002,8430.0,6,4
DrawAllocation_HashMapUsage,1,0,9380.586557499999,8433.0,9328.806475499998,8432.0,6,4
DrawAllocation_HashMapUsage,1,0,9423.564299999996,8435.0,9383.463706,8433.0,6,4
DrawAllocation_HashMapUsage,1,0,9424.694591500001,8436.0,9386.643128499998,8433.0,6,4
DrawAllocation_HashMapUsage,1,0,9428.846095499997,8436.0,9398.1730695,8435.0,6,4
DrawAllocation_HashMapUsage,1,0,9438.346581499998,8437.0,9445.587139500001,8436.0,6,4
DrawAllocation_HashMapUsage,1,0,9482.183102499997,8438.0,9450.0175355,8518.0,6,4
DrawAllocation_HashMapUsage,1,0,9507.977447500005,8442.0,9463.919993000003,8532.0,6,4
DrawAllocation_HashMapUsage,1,0,9513.037786500001,8486.0,9590.177430500004,8532.0,6,4
DrawAllocation_HashMapUsage,1,0,9522.027409999999,8502.0,9622.3543755,8536.0,6,4
DrawAllocation_HashMapUsage,1,0,9524.027643999998,8530.0,9662.706322500002,8537.0,6,4
DrawAllocation_HashMapUsage,1,0,9564.931002000001,8533.0,9690.631592000005,8537.0,6,4
DrawAllocation_HashMapUsage,1,0,9591.2010705,8536.0,9849.8757,8587.0,6,4
DrawAllocation_HashMapUsage,1,0,9607.348765999997,8540.0,9877.507249500002,8638.0,6,4
DrawAllocation_HashMapUsage,1,0,9632.031102,8581.0,9954.724351500003,8646.0,6,4
DrawAllocation_HashMapUsage,1,0,11153.721121499999,8633.0,10200.792006,8727.0,6,4
DrawAllocation_HashMapUsage,1,0,9109.35408,8735.0,9196.040928499999,8733.0,5,4
DrawAllocation_HashMapUsage,1,0,9175.296705499997,8791.0,9246.3243935,8781.0,5,4
DrawAllocation_HashMapUsage,1,0,9191.254257499997,8833.0,9254.8183405,8785.0,5,4
DrawAllocation_HashMapUsage,1,0,9250.9187985,8834.0,9265.080942,8799.0,5,4
DrawAllocation_HashMapUsage,1,0,9300.9356895,8834.0,9311.212647000006,8815.0,5,4
DrawAllocation_HashMapUsage,1,0,9365.2648185,8835.0,9347.682400999995,8833.0,5,4
DrawAllocation_HashMapUsage,1,0,9423.246304000004,8836.0,9430.4165315,8833.0,5,4
DrawAllocation_HashMapUsage,1,0,9445.5203035,8839.0,9470.74456,8836.0,5,4
DrawAllocation_HashMapUsage,1,0,9460.908456000001,8839.0,9530.333052500004,8839.0,5,4
DrawAllocation_HashMapUsage,1,0,9499.659274999998,8882.0,9534.398532499996,8841.0,5,4
DrawAllocation_HashMapUsage,1,0,9539.156829999998,8885.0,9551.060145500001,8847.0,5,4
DrawAllocation_HashMapUsage,1,0,9541.1984405,8889.0,9576.282474000005,8887.0,5,4
DrawAllocation_HashMapUsage,1,0,9559.265759500002,8928.0,9595.647955999999,8891.0,5,4
DrawAllocation_HashMapUsage,1,0,9596.609994999995,8930.0,9624.167233999999,8895.0,5,4
DrawAllocation_HashMapUsage,1,0,9600.292137999999,8931.0,9645.205377000002,8930.0,5,4
DrawAllocation_HashMapUsage,1,0,9620.098286499999,8932.0,9646.622183500001,8933.0,5,4
DrawAllocation_HashMapUsage,1,0,9629.746965000006,8933.0,9658.7999335,8933.0,5,4
DrawAllocation_HashMapUsage,1,0,9639.117447499997,8933.0,9722.3345935,8935.0,5,4
DrawAllocation_HashMapUsage,1,0,9652.2909215,8935.0,9734.659971500001,8936.0,5,4
DrawAllocation_HashMapUsage,1,0,9669.668034499997,8939.0,9737.794805500002,8937.0,5,4
DrawAllocation_HashMapUsage,1,0,9744.575869000002,8941.0,9840.0442265,8938.0,5,4
DrawAllocation_HashMapUsage,1,0,9753.554021999998,8985.0,9892.591446000002,8984.0,5,4
DrawAllocation_HashMapUsage,1,0,9785.258359999998,8989.0,9917.885259999997,8990.0,5,4
DrawAllocation_HashMapUsage,1,0,9900.303122500003,8996.0,10002.651619,9031.0,5,4
DrawAllocation_HashMapUsage,1,0,10115.851757000004,9134.0,13108.956105499996,9129.0,5,4
DrawAllocation_HashMapUsage,1,0,9530.726764000001,9738.0,9459.506982500001,9740.0,5,4
DrawAllocation_HashMapUsage,1,0,9594.8833945,9738.0,9677.420888499997,9744.0,5,4
DrawAllocation_HashMapUsage,1,0,9608.621803,9787.0,9718.110385999997,9748.0,5,4
DrawAllocation_HashMapUsage,1,0,9617.586949000002,9799.0,9744.704695499997,9790.0,5,4
DrawAllocation_HashMapUsage,1,0,9652.128677499999,9813.0,9757.4718395,9793.0,5,4
DrawAllocation_HashMapUsage,1,0,9681.729272,9836.0,9774.9862485,9799.0,5,4
DrawAllocation_HashMapUsage,1,0,9682.983996499997,9837.0,9797.901156,9835.0,5,4
DrawAllocation_HashMapUsage,1,0,9713.037826,9837.0,9805.361691000004,9836.0,5,4
DrawAllocation_HashMapUsage,1,0,9763.80483,9838.0,9840.186315500001,9837.0,5,4
DrawAllocation_HashMapUsage,1,0,9791.175171499997,9838.0,9865.303422500001,9843.0,5,4
DrawAllocation_HashMapUsage,1,0,9794.884531000003,9839.0,9901.574097499999,9846.0,5,4
DrawAllocation_HashMapUsage,1,0,9842.031665000004,9840.0,9942.346882999998,9881.0,5,4
DrawAllocation_HashMapUsage,1,0,9890.571971,9842.0,9971.812996,9937.0,5,4
DrawAllocation_HashMapUsage,1,0,9924.7546155,9844.0,9982.635066999997,9938.0,5,4
DrawAllocation_HashMapUsage,1,0,9942.154577,9886.0,10005.215935,9940.0,5,4
DrawAllocation_HashMapUsage,1,0,9947.097646500002,9892.0,10007.158230000003,9981.0,5,4
DrawAllocation_HashMapUsage,1,0,9956.563802000002,9912.0,10013.519600999998,9983.0,5,4
DrawAllocation_HashMapUsage,1,0,9996.935671500001,9938.0,10020.909197999998,9986.0,5,4
DrawAllocation_HashMapUsage,1,0,9999.578523500002,9983.0,10037.264651499998,9987.0,5,4
DrawAllocation_HashMapUsage,1,0,10049.7268925,9989.0,10076.152693999995,9991.0,5,4
DrawAllocation_HashMapUsage,1,0,10071.832176,10032.0,10077.5475475,10042.0,5,4
DrawAllocation_HashMapUsage,1,0,10099.5624445,10035.0,10116.2443795,10091.0,5,4
DrawAllocation_HashMapUsage,1,0,10138.781968,10039.0,10265.644052000003,10114.0,5,4
DrawAllocation_HashMapUsage,1,0,10188.463764,10141.0,10394.602609000003,10131.0,5,4
DrawAllocation_HashMapUsage,1,0,10450.689249999996,10144.0,10569.165106499997,10134.0,5,4
DrawAllocation_HashMapUsage,1,0,9187.982209999998,8211.0,8990.377519999998,8129.0,8,5
DrawAllocation_HashMapUsage,1,0,9214.367361499999,8235.0,9114.618525000002,8280.0,8,5
DrawAllocation_HashMapUsage,1,0,9254.959059000003,8279.0,9126.128610999998,8296.0,8,5
DrawAllocation_HashMapUsage,1,0,9261.979817499996,8289.0,9208.653753000002,8333.0,8,5
DrawAllocation_HashMapUsage,1,0,9272.529659000002,8332.0,9211.502160000004,8336.0,8,5
DrawAllocation_HashMapUsage,1,0,9330.911333000002,8334.0,9308.0586295,8340.0,8,5
DrawAllocation_HashMapUsage,1,0,9343.618884000001,8377.0,9320.417927999997,8353.0,8,5
DrawAllocation_HashMapUsage,1,0,9354.197434000003,8381.0,9368.2524095,8384.0,8,5
DrawAllocation_HashMapUsage,1,0,9380.9932835,8385.0,9371.789281000003,8433.0,8,5
DrawAllocation_HashMapUsage,1,0,9403.223330500003,8387.0,9377.48614,8433.0,8,5
DrawAllocation_HashMapUsage,1,0,9422.4605725,8412.0,9404.995784499999,8435.0,8,5
DrawAllocation_HashMapUsage,1,0,9477.1581035,8431.0,9435.6924355,8436.0,8,5
DrawAllocation_HashMapUsage,1,0,9478.883237500004,8432.0,9448.1231705,8437.0,8,5
DrawAllocation_HashMapUsage,1,0,9504.641395499999,8433.0,9483.503552500002,8439.0,8,5
DrawAllocation_HashMapUsage,1,0,9552.779124000004,8434.0,9486.133217499997,8441.0,8,5
DrawAllocation_HashMapUsage,1,0,9571.309048499998,8434.0,9494.378678500001,8443.0,8,5
DrawAllocation_HashMapUsage,1,0,9593.028452000002,8442.0,9518.136917500004,8450.0,8,5
DrawAllocation_HashMapUsage,1,0,9633.789209499999,8443.0,9579.3458575,8462.0,8,5
DrawAllocation_HashMapUsage,1,0,9651.920896,8445.0,9603.246891500003,8531.0,8,5
DrawAllocation_HashMapUsage,1,0,9658.853604999998,8451.0,9638.345968999998,8537.0,8,5
DrawAllocation_HashMapUsage,1,0,9665.701754000002,8485.0,9756.555166000002,8539.0,8,5
DrawAllocation_HashMapUsage,1,0,9677.4024625,8529.0,9834.814002,8634.0,8,5
DrawAllocation_HashMapUsage,1,0,9719.807677499997,8535.0,9837.788139000002,8640.0,8,5
DrawAllocation_HashMapUsage,1,0,9790.474723000001,8632.0,10046.991004999996,8640.0,8,5
DrawAllocation_HashMapUsage,1,0,10366.204658500006,8684.0,10145.654766,8683.0,8,5
DrawAllocation_HashMapUsage,1,0,8110.271400499999,9885.0,8156.300785499999,9820.0,7,4
DrawAllocation_HashMapUsage,1,0,8156.136200999999,9901.0,8215.912868000001,9840.0,7,4
DrawAllocation_HashMapUsage,1,0,8180.781265999998,9937.0,8236.847617499998,9841.0,7,4
DrawAllocation_HashMapUsage,1,0,8222.177766000003,9938.0,8337.759266500003,9933.0,7,4
DrawAllocation_HashMapUsage,1,0,8241.632225500003,9940.0,8355.757399499998,9938.0,7,4
DrawAllocation_HashMapUsage,1,0,8250.323494500006,9995.0,8397.3005255,9954.0,7,4
DrawAllocation_HashMapUsage,1,0,8261.7799435,9999.0,8401.797199,10041.0,7,4
DrawAllocation_HashMapUsage,1,0,8285.964066999999,10001.0,8448.679349499998,10044.0,7,4
DrawAllocation_HashMapUsage,1,0,8365.626756000003,10038.0,8476.013022500003,10145.0,7,4
DrawAllocation_HashMapUsage,1,0,8402.083889000003,10048.0,8568.071326,10158.0,7,4
DrawAllocation_HashMapUsage,1,0,8448.825144000002,10146.0,8624.162263999997,10193.0,7,4
DrawAllocation_HashMapUsage,1,0,8472.0447515,10241.0,8724.6143395,10237.0,7,4
DrawAllocation_HashMapUsage,1,0,8514.8434125,10602.0,9558.475056500003,10437.0,7,4
DrawAllocation_HashMapUsage,1,0,10396.301897500001,10748.0,10688.768871,10754.0,7,4
DrawAllocation_HashMapUsage,1,0,10524.588870499996,10830.0,10751.454492499997,10755.0,7,4
DrawAllocation_HashMapUsage,1,0,10536.589136,10842.0,10847.905287000001,10793.0,7,4
DrawAllocation_HashMapUsage,1,0,10673.861893499998,10849.0,10969.927204999996,10803.0,7,4
DrawAllocation_HashMapUsage,1,0,10705.889155500003,10934.0,11005.053494000007,10841.0,7,4
DrawAllocation_HashMapUsage,1,0,10794.807173000001,10940.0,11096.547250499998,10848.0,7,4
DrawAllocation_HashMapUsage,1,0,10848.470980500002,10947.0,11137.952632000004,10850.0,7,4
DrawAllocation_HashMapUsage,1,0,10865.22318,10948.0,11171.890777999999,10935.0,7,4
DrawAllocation_HashMapUsage,1,0,10946.197107500002,10999.0,11245.017425000004,10973.0,7,4
DrawAllocation_HashMapUsage,1,0,11073.0750345,11017.0,11330.879549000003,11045.0,7,4
DrawAllocation_HashMapUsage,1,0,11135.008895500001,11042.0,11349.813909,11047.0,7,4
DrawAllocation_HashMapUsage,1,0,11148.420155499996,11045.0,11462.230297500002,11057.0,7,4
