EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
HashMapUsage,2,0,21402.71964199999,42865.0,20860.23938,42919.0,7,5
HashMapUsage,2,0,21441.427744499997,42964.0,21712.431538000004,42951.0,7,5
HashMapUsage,2,0,21457.22589199999,42969.0,21721.63812549999,43063.0,7,5
HashMapUsage,2,0,21607.355417,42972.0,21835.284110999994,43064.0,7,5
HashMapUsage,2,0,21692.313060499986,42996.0,21895.043052000008,43071.0,7,5
HashMapUsage,2,0,21755.44306850001,43003.0,21936.34718599999,43101.0,7,5
HashMapUsage,2,0,21774.63795749999,43003.0,21967.950796500012,43104.0,7,5
HashMapUsage,2,0,21910.1618705,43057.0,22050.757995499996,43115.0,7,5
HashMapUsage,2,0,21986.566389,43064.0,22051.335557000017,43151.0,7,5
HashMapUsage,2,0,22032.173907999997,43065.0,22081.558460000026,43198.0,7,5
HashMapUsage,2,0,22181.559378000005,43073.0,22104.767260000004,43199.0,7,5
HashMapUsage,2,0,22201.806648499994,43075.0,22165.7265105,43207.0,7,5
HashMapUsage,2,0,22217.764600999995,43098.0,22177.388030499984,43210.0,7,5
HashMapUsage,2,0,22236.929623999997,43102.0,22182.244963999994,43249.0,7,5
HashMapUsage,2,0,22275.82249550001,43146.0,22256.541459000004,43250.0,7,5
HashMapUsage,2,0,22356.711576500016,43162.0,22271.809946000005,43251.0,7,5
HashMapUsage,2,0,22498.931323999986,43164.0,22290.253645999994,43251.0,7,5
HashMapUsage,2,0,22590.065100000003,43194.0,22378.83008849999,43253.0,7,5
HashMapUsage,2,0,22648.597615500003,43194.0,22393.290082499992,43258.0,7,5
HashMapUsage,2,0,22710.00571999999,43205.0,22517.34568149998,43265.0,7,5
HashMapUsage,2,0,22893.75600950001,43209.0,22660.7279915,43266.0,7,5
HashMapUsage,2,0,23128.481157,43293.0,22728.186256000008,43297.0,7,5
HashMapUsage,2,0,23190.75365150001,43354.0,22924.652414000007,43302.0,7,5
HashMapUsage,2,0,23271.421693999997,43363.0,23109.3411335,43395.0,7,5
HashMapUsage,2,0,23736.633522999993,43370.0,23189.041374500015,43405.0,7,5
HashMapUsage,2,0,21205.386417000005,39975.0,20951.022743500005,39947.0,8,6
HashMapUsage,2,0,21489.474088499992,40047.0,21002.279366,39993.0,8,6
HashMapUsage,2,0,21519.82104950001,40095.0,21193.880837500008,40003.0,8,6
