EGAP(s),# EGAPs 'ObsoleteLayoutParam' fixed,# Hits on 'ObsoleteLayoutParam' fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
ObsoleteLayoutParam,6,6,10852.456771000001,7837.0,8839.4605135,7781.0,8,3
ObsoleteLayoutParam,6,6,10980.110149500002,7927.0,8887.0137615,7837.0,8,3
ObsoleteLayoutParam,6,6,11008.458694500001,7932.0,9010.643343000003,8032.0,8,3
ObsoleteLayoutParam,6,6,11057.700698,7935.0,9064.341211000003,8085.000000000001,8,3
ObsoleteLayoutParam,6,6,11093.530405499998,7938.0,9065.210297000001,8147.0,8,3
ObsoleteLayoutParam,6,6,11137.741498000005,7997.0,9198.3082945,8222.0,8,3
ObsoleteLayoutParam,6,6,11182.832705499999,8006.0,9249.436199500004,8238.0,8,3
ObsoleteLayoutParam,6,6,11214.574153500002,8032.999999999999,9254.389117499999,8337.0,8,3
ObsoleteLayoutParam,6,6,11242.369251000002,8034.000000000001,9305.675874999999,8340.0,8,3
ObsoleteLayoutParam,6,6,11262.210387500001,8035.0,9391.307947999996,8386.0,8,3
ObsoleteLayoutParam,6,6,11289.444045999999,8041.0,9411.151336500001,8430.0,8,3
ObsoleteLayoutParam,6,6,11416.047852999996,8042.999999999999,9474.471641499998,8432.0,8,3
ObsoleteLayoutParam,6,6,11438.639886499997,8044.000000000001,9507.616766,8435.0,8,3
ObsoleteLayoutParam,6,6,11502.056216499997,8093.0,9544.387081000004,8436.0,8,3
ObsoleteLayoutParam,6,6,11572.989861999999,8122.0,9547.182620000001,8436.0,8,3
ObsoleteLayoutParam,6,6,11801.460879999997,8125.999999999999,9573.030552999997,8440.0,8,3
ObsoleteLayoutParam,6,6,11845.593444500002,8131.0,9694.3999155,8441.0,8,3
ObsoleteLayoutParam,6,6,11846.887225999999,8135.0,9761.731789,8442.0,8,3
ObsoleteLayoutParam,6,6,11856.625974500002,8135.0,9823.276495499998,8459.0,8,3
ObsoleteLayoutParam,6,6,11901.291476499995,8135.999999999999,11056.779150999999,8531.0,8,3
ObsoleteLayoutParam,6,6,11999.840636500001,8140.000000000001,11219.555424499997,8532.0,8,3
ObsoleteLayoutParam,6,6,12022.909369500005,8154.0,11287.170953000003,8548.0,8,3
ObsoleteLayoutParam,6,6,12144.268751500002,8231.0,11486.009252999998,8624.0,8,3
ObsoleteLayoutParam,6,6,12147.182549999996,8231.0,11662.069341499997,8634.0,8,3
ObsoleteLayoutParam,6,6,12606.913742999997,8285.0,12489.225255000001,8677.0,8,3
ObsoleteLayoutParam,6,6,10433.736005500003,8329.0,8289.660390500001,8730.0,2,2
ObsoleteLayoutParam,6,6,10517.266557000004,8379.0,8454.892772499998,8779.0,2,2
ObsoleteLayoutParam,6,6,10547.355684999995,8389.0,8589.851589000004,8782.0,2,2
ObsoleteLayoutParam,6,6,10555.7514025,8404.0,8624.992741499997,8801.0,2,2
ObsoleteLayoutParam,6,6,10588.278494,8422.0,8645.471678000005,8832.0,2,2
ObsoleteLayoutParam,6,6,10601.936609,8432.0,8676.863801500002,8833.0,2,2
ObsoleteLayoutParam,6,6,10634.673180500004,8434.0,8714.053835000002,8835.0,2,2
ObsoleteLayoutParam,6,6,10652.624054,8436.0,8766.027266000001,8882.0,2,2
ObsoleteLayoutParam,6,6,10669.795009500001,8436.0,8776.216856999998,8885.0,2,2
ObsoleteLayoutParam,6,6,10734.386037,8437.0,8819.085231000003,8891.0,2,2
ObsoleteLayoutParam,6,6,10807.694753000003,8486.0,8824.723008999998,8929.0,2,2
ObsoleteLayoutParam,6,6,10819.311527000002,8529.0,8871.560544000002,8932.0,2,2
ObsoleteLayoutParam,6,6,10874.770695000005,8529.0,8889.673608000001,8939.0,2,2
ObsoleteLayoutParam,6,6,10882.8035515,8532.0,8932.751121500003,8939.0,2,2
ObsoleteLayoutParam,6,6,10907.389752000003,8539.0,9038.211440000005,8939.0,2,2
ObsoleteLayoutParam,6,6,10961.555970000007,8541.0,9147.6963995,8990.0,2,2
ObsoleteLayoutParam,6,6,11043.885289000003,8573.0,9168.607924499998,8993.0,2,2
ObsoleteLayoutParam,6,6,11075.2930325,8586.0,9224.379591,9009.0,2,2
ObsoleteLayoutParam,6,6,11110.707813500005,8587.0,9291.046390000001,9030.0,2,2
ObsoleteLayoutParam,6,6,11170.134326000001,8588.0,9404.1144465,9035.0,2,2
ObsoleteLayoutParam,6,6,11303.8674365,8644.0,9470.040771,9036.0,2,2
ObsoleteLayoutParam,6,6,11389.856195500002,8654.0,9570.549071500003,9036.0,2,2
ObsoleteLayoutParam,6,6,11588.351326000002,8689.0,9583.5399985,9042.0,2,2
ObsoleteLayoutParam,6,6,11929.2109545,8700.0,9699.794204999998,9123.0,2,2
ObsoleteLayoutParam,6,6,15019.822014499998,8739.0,12733.345574500001,9137.0,2,2
ObsoleteLayoutParam,6,6,9210.122134000003,9393.0,9109.575815999999,9741.0,2,2
ObsoleteLayoutParam,6,6,9259.356356000004,9433.0,9185.434317000003,9742.0,2,2
ObsoleteLayoutParam,6,6,9262.643016500004,9438.0,9188.2771355,9744.0,2,2
ObsoleteLayoutParam,6,6,9344.119132500004,9441.0,9193.742998000002,9790.0,2,2
ObsoleteLayoutParam,6,6,9408.262539500005,9444.0,9223.952289,9790.0,2,2
ObsoleteLayoutParam,6,6,9484.526517499999,9504.0,9305.477035000004,9835.0,2,2
ObsoleteLayoutParam,6,6,9491.152124999999,9522.0,9330.676861000002,9836.0,2,2
ObsoleteLayoutParam,6,6,9494.809066000002,9533.0,9355.953610000002,9839.0,2,2
ObsoleteLayoutParam,6,6,9697.330063000001,9536.0,9366.0087655,9842.0,2,2
ObsoleteLayoutParam,6,6,10953.461314000002,9539.0,9377.949849500003,9844.0,2,2
ObsoleteLayoutParam,6,6,11301.421582000006,9542.0,9390.988876000003,9846.0,2,2
ObsoleteLayoutParam,6,6,11338.665990500001,9542.0,9483.793622500001,9884.0,2,2
ObsoleteLayoutParam,6,6,11398.655873500004,9578.0,9487.544656499997,9888.0,2,2
ObsoleteLayoutParam,6,6,11460.474810999998,9664.0,9501.420865499998,9937.0,2,2
ObsoleteLayoutParam,6,6,11532.812346000006,9737.0,9511.920317999999,9939.0,2,2
ObsoleteLayoutParam,6,6,11549.588491999999,9786.0,9529.888405000002,9942.0,2,2
ObsoleteLayoutParam,6,6,11573.434416,9873.0,9607.0381655,9943.0,2,2
ObsoleteLayoutParam,6,6,11593.351651999998,9938.0,9632.835915500003,9943.0,2,2
ObsoleteLayoutParam,6,6,11679.400907,9941.0,9635.153385,9944.0,2,2
ObsoleteLayoutParam,6,6,11775.766845000002,9971.0,9640.540637499998,9946.0,2,2
ObsoleteLayoutParam,6,6,11781.013964500002,9989.0,9661.223526000003,9949.0,2,2
ObsoleteLayoutParam,6,6,11999.205792999996,9990.0,9847.130226999996,9984.0,2,2
ObsoleteLayoutParam,6,6,12257.454866999997,10034.0,9847.770699499999,9988.0,2,2
ObsoleteLayoutParam,6,6,12295.791915000002,10036.0,9937.840784000004,10033.0,2,2
ObsoleteLayoutParam,6,6,17612.684545999993,10039.0,10085.371874499999,10042.0,2,2
ObsoleteLayoutParam,6,6,8669.280230000002,7880.0,8441.862986,8329.0,2,2
ObsoleteLayoutParam,6,6,8701.3405765,7880.0,8445.101353499998,8330.0,2,2
ObsoleteLayoutParam,6,6,8762.277881999998,7883.0,8579.050775000002,8331.0,2,2
ObsoleteLayoutParam,6,6,8861.181178,7896.0,8595.792864,8333.0,2,2
ObsoleteLayoutParam,6,6,8890.432214000002,7906.0,8640.866215999999,8335.0,2,2
ObsoleteLayoutParam,6,6,8988.025207999997,7923.0,8652.3370505,8336.0,2,2
ObsoleteLayoutParam,6,6,10239.682857500004,7933.0,8682.500766000001,8386.0,2,2
ObsoleteLayoutParam,6,6,10425.777002000003,7957.0,8735.9269755,8391.0,2,2
ObsoleteLayoutParam,6,6,10439.115120999997,8026.999999999999,8737.7614615,8404.0,2,2
ObsoleteLayoutParam,6,6,10519.102237000001,8029.0,8764.471027499998,8428.0,2,2
ObsoleteLayoutParam,6,6,10581.459602500005,8029.999999999999,8785.084435000002,8430.0,2,2
ObsoleteLayoutParam,6,6,10585.091228500001,8032.0,8801.095512500002,8430.0,2,2
ObsoleteLayoutParam,6,6,10602.961492999999,8035.0,8802.108460000003,8432.0,2,2
ObsoleteLayoutParam,6,6,10645.741984500004,8048.999999999999,8814.035067,8433.0,2,2
ObsoleteLayoutParam,6,6,10721.643637499998,8083.0,8840.0243745,8434.0,2,2
ObsoleteLayoutParam,6,6,10762.443828,8131.0,8853.7582125,8530.0,2,2
ObsoleteLayoutParam,6,6,10825.999358,8137.0,8893.356071999997,8530.0,2,2
ObsoleteLayoutParam,6,6,10827.385762999998,8144.0,8899.538012500001,8533.0,2,2
ObsoleteLayoutParam,6,6,10850.5037975,8183.0,8929.687794,8535.0,2,2
ObsoleteLayoutParam,6,6,10949.194161500001,8331.0,8964.167094499999,8535.0,2,2
ObsoleteLayoutParam,6,6,11007.759689,8375.0,9007.396751499999,8590.0,2,2
ObsoleteLayoutParam,6,6,11119.7387995,8422.0,9037.0143315,8632.0,2,2
ObsoleteLayoutParam,6,6,11126.343596999997,8432.0,9050.494082500001,8685.0,2,2
ObsoleteLayoutParam,6,6,11144.8685,8432.0,9150.605761000003,8720.0,2,2
ObsoleteLayoutParam,6,6,11386.7931205,8439.0,9274.579841499999,8730.0,2,2
ObsoleteLayoutParam,6,6,10289.875746000002,9536.0,10310.258005,9944.0,2,2
ObsoleteLayoutParam,6,6,10429.238980000002,9590.0,10529.146954499998,9944.0,2,2
ObsoleteLayoutParam,6,6,10709.486016500001,9593.0,10533.957826,9948.0,2,2
ObsoleteLayoutParam,6,6,10749.764712499997,9594.0,10567.239059499998,9985.0,2,2
ObsoleteLayoutParam,6,6,11264.474317500004,9630.0,10606.9198315,10017.0,2,2
ObsoleteLayoutParam,6,6,12802.759520499998,9636.0,10610.995420000003,10040.0,2,2
ObsoleteLayoutParam,6,6,12818.050553000001,9638.0,10616.5493425,10075.0,2,2
ObsoleteLayoutParam,6,6,12897.709431500001,9645.0,10640.494161499997,10086.0,2,2
ObsoleteLayoutParam,6,6,12904.861468,9654.0,10683.746541499999,10095.0,2,2
ObsoleteLayoutParam,6,6,12952.027436999997,9678.0,10702.771680000005,10139.0,2,2
ObsoleteLayoutParam,6,6,13052.372088000002,9733.0,10720.150440500007,10140.0,2,2
ObsoleteLayoutParam,6,6,13095.132059499996,9737.0,10737.2209,10140.0,2,2
ObsoleteLayoutParam,6,6,13143.6478475,9737.0,10739.175195499998,10141.0,2,2
ObsoleteLayoutParam,6,6,13148.584152499998,9740.0,10744.970688000001,10142.0,2,2
ObsoleteLayoutParam,6,6,13195.483403499999,9746.0,10782.210078999999,10143.0,2,2
