EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,24984.414759500007,43205.0,22133.89252200001,44388.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,26368.747558999996,43285.0,22189.157199999983,45847.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,26409.74478150001,43293.0,22244.95735050002,45918.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,26800.478464,43298.0,22310.906335000003,46097.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,27039.983236000007,43386.0,22344.539209499984,46128.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,27900.062160499998,43503.0,22521.252067,46142.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,28346.343626000005,43585.0,22749.790027499985,46188.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,29794.59173850002,43590.0,23069.22316649999,46237.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,29834.800186499986,43604.0,23106.60560600001,46238.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,29876.159818499982,43605.0,23126.300862999997,46240.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,29963.041078999988,43636.0,23162.984391500006,46310.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,30000.807498500013,43636.0,23179.624796999982,46317.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,30120.097783499998,43687.0,23186.326678000023,46326.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,30130.093758,43699.0,23219.469717499993,46331.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,30149.165308500018,43700.0,23239.3578235,46360.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,30274.663032000008,43753.0,23251.234751500015,46389.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,30891.88827150001,43900.0,23267.425773000006,46411.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,31032.140922000017,43905.0,23320.606823500002,46426.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,32564.365505000005,44195.0,23408.16655300002,46448.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,35102.72667750001,44205.0,23427.601886999983,46610.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,35521.362299500004,44223.0,23486.755181000004,46693.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,35704.352068500026,44261.0,23497.788854000002,46740.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,35799.13651599999,44290.0,23685.1651585,46758.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,36338.360135500014,44591.0,24129.299568000002,46759.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,36715.69100100002,44696.0,25202.998858999985,46785.0,683,54
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,19066.656704999983,40362.0,16571.316959500007,41282.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,21591.110064999993,40413.0,17656.063282000006,41293.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,21792.394223499996,40461.0,17731.311582000002,41306.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22046.404533499994,40469.0,17746.950508000005,41355.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22063.010732500003,40500.0,17793.341560499997,41369.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22101.949499999995,40509.0,17793.551411000004,41384.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22190.74898500001,40514.0,17887.356191499995,41398.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22200.363928999977,40516.0,17976.808390000002,41459.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22341.169178999997,40520.0,17983.2080095,41466.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22468.500427499985,40554.0,18027.571619000013,41466.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22516.02073199998,40557.0,18051.706829000006,41466.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22516.8990275,40569.0,18076.7680455,41468.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22538.72393500001,40570.0,18125.495831500004,41470.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22581.126854000002,40579.0,18213.333239499996,41471.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22631.67649799999,40586.0,18254.610933999993,41476.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22686.26684900001,40605.0,18272.19896400001,41476.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22733.089513000003,40631.0,18371.152774000013,41502.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22852.91512,40657.0,18430.456907500007,41518.0,666,55
ObsoleteLayoutParam_HashMapUsage_ExcessiveMethodCalls,0,0,22904.592750500007,40659.0,18433.329374,41550.0,666,55
