EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
Recycle,2,2,21526.1642005,42946.0,22112.389628499997,43061.0,37,26
Recycle,2,2,21858.035538499986,42974.0,22259.033288999995,43156.0,37,26
Recycle,2,2,22111.707200499986,43089.0,22303.859750999978,43186.0,37,26
Recycle,2,2,22303.1364065,43113.0,22342.932440000015,43205.0,37,26
Recycle,2,2,22313.31384200002,43151.0,22751.404465000007,43206.0,37,26
Recycle,2,2,22313.394741499982,43160.0,22794.047462000002,43220.0,37,26
Recycle,2,2,22370.591628999995,43161.0,22798.593608500007,43232.0,37,26
Recycle,2,2,22393.63606549999,43195.0,22837.1163775,43255.0,37,26
Recycle,2,2,22406.831772500005,43199.0,22841.32403550001,43267.0,37,26
Recycle,2,2,22428.154417500005,43212.0,22967.946150999993,43296.0,37,26
Recycle,2,2,22432.870129999992,43212.0,22975.060414499992,43300.0,37,26
Recycle,2,2,22586.872325000015,43256.0,22982.239803499986,43303.0,37,26
Recycle,2,2,22600.77925750001,43264.0,23022.894035,43307.0,37,26
Recycle,2,2,22642.95855349999,43265.0,23094.069507000004,43314.0,37,26
Recycle,2,2,22725.6247695,43294.0,23175.280705500016,43315.0,37,26
Recycle,2,2,22826.140070999998,43300.0,23207.819685500002,43316.0,37,26
Recycle,2,2,22845.678313,43350.0,23232.443458499998,43329.0,37,26
Recycle,2,2,22872.911838499993,43358.0,23267.603183000014,43338.0,37,26
Recycle,2,2,22919.560961000025,43360.0,23277.787705499988,43346.0,37,26
Recycle,2,2,22951.97052649999,43389.0,23348.22698150001,43379.0,37,26
Recycle,2,2,23058.290355000012,43405.0,23391.33536550001,43381.0,37,26
Recycle,2,2,23381.854942500006,43447.0,23649.983544499977,43407.0,37,26
Recycle,2,2,23539.618869499984,43450.0,23786.51536900001,43415.0,37,26
Recycle,2,2,23960.24973899999,43468.0,23804.52559100001,43418.0,37,26
Recycle,2,2,27554.7668065,43592.0,25186.58224949999,43461.0,37,26
Recycle,2,2,22156.68923600002,40291.0,23848.497393999987,40191.0,49,26
Recycle,2,2,23024.908878500002,40345.0,24033.391421999993,40246.0,49,26
Recycle,2,2,23850.551464499997,40368.0,24144.448660500017,40255.0,49,26
Recycle,2,2,23861.329253499993,40397.0,24263.555697499978,40258.0,49,26
Recycle,2,2,23922.69980500001,40402.0,24455.935208999977,40307.0,49,26
Recycle,2,2,23961.763305999993,40433.0,24472.531951,40343.0,49,26
Recycle,2,2,24131.40584399999,40439.0,24552.93033,40359.0,49,26
Recycle,2,2,24145.999726499987,40441.0,24655.471531999996,40398.0,49,26
Recycle,2,2,24298.680236999993,40444.0,24674.2232425,40401.0,49,26
Recycle,2,2,24366.167775000027,40448.0,24763.467824500014,40432.0,49,26
Recycle,2,2,24380.31285850001,40452.0,24791.66205899999,40444.0,49,26
Recycle,2,2,24522.32720749999,40462.0,24819.112022999994,40445.0,49,26
Recycle,2,2,24525.796558999988,40483.0,24924.074859500004,40452.0,49,26
Recycle,2,2,24550.185246000015,40495.0,24968.766932,40456.0,49,26
Recycle,2,2,24564.636280500003,40496.0,25009.514928000004,40461.0,49,26
Recycle,2,2,24607.25030800001,40561.0,25098.68535799999,40479.0,49,26
Recycle,2,2,24685.314006999997,40576.0,25217.696855499995,40486.0,49,26
Recycle,2,2,24936.7651585,40591.0,25220.30911400001,40492.0,49,26
Recycle,2,2,25085.95220100001,40594.0,25339.689021,40548.0,49,26
Recycle,2,2,25109.07148649999,40595.0,25487.726959499985,40550.0,49,26
Recycle,2,2,25125.05197750001,40599.0,25535.682458,40557.0,49,26
Recycle,2,2,25178.651026999985,40602.0,25574.391292000004,40560.0,49,26
Recycle,2,2,25230.964216999993,40640.0,26011.78786599998,40570.0,49,26
Recycle,2,2,25551.784473000007,40688.0,26037.792867499982,40586.0,49,26
Recycle,2,2,26825.4798295,40698.0,26833.202866999985,40602.0,49,26
Recycle,2,2,24119.516442,41699.0,22522.186084500012,41704.0,49,26
Recycle,2,2,24557.37171799998,41759.0,22642.230193999978,41797.0,49,26
Recycle,2,2,24750.911039499988,41802.0,24424.05400350001,41803.0,49,26
Recycle,2,2,24816.6082895,41803.0,24941.71482550001,41846.0,49,26
Recycle,2,2,24928.040451,41805.0,24988.915198999992,41852.0,49,26
Recycle,2,2,25004.056892500004,41842.0,25325.93630199999,41887.0,49,26
Recycle,2,2,25072.630180500015,41854.0,25402.946586499995,41890.0,49,26
Recycle,2,2,25158.723129500006,41856.0,25409.743860999995,41890.0,49,26
Recycle,2,2,25195.130729999983,41858.0,25543.185463,41901.0,49,26
Recycle,2,2,25252.22575850001,41884.0,25575.610140499994,41901.0,49,26
Recycle,2,2,25266.369904000006,41898.0,25619.424022000003,41904.0,49,26
Recycle,2,2,25310.152951000004,41903.0,25639.949421999998,41904.0,49,26
Recycle,2,2,25345.384095999994,41906.0,25676.256620499993,41904.0,49,26
Recycle,2,2,25439.945363000006,41958.0,25697.898346999988,41905.0,49,26
Recycle,2,2,25466.969385000008,41959.0,25706.527352499998,41905.0,49,26
Recycle,2,2,25512.511915500014,41966.0,25728.693850499996,41906.0,49,26
Recycle,2,2,25598.928102999995,41979.0,25829.121838500003,41907.0,49,26
Recycle,2,2,25662.322338999988,41989.0,25883.782595000004,41915.0,49,26
Recycle,2,2,25739.186453500013,42001.0,25939.038483000004,41921.0,49,26
Recycle,2,2,25761.260081500008,42058.0,26043.544662999997,41946.0,49,26
Recycle,2,2,25847.18224450001,42058.0,26299.495415499998,41972.0,49,26
Recycle,2,2,25924.893942000006,42065.0,26318.187105500012,41997.0,49,26
Recycle,2,2,26120.81372849999,42098.0,26693.123163499997,42009.0,49,26
Recycle,2,2,26160.60258050001,42098.0,26823.329465500003,42065.0,49,26
Recycle,2,2,26344.153720000017,42200.0,28095.604723999986,42106.0,49,26
Recycle,2,2,23302.860674000003,49264.0,24623.157580000006,49276.0,52,27
Recycle,2,2,23903.00198200002,49350.0,24796.30155450001,49283.0,52,27
Recycle,2,2,24022.777662499997,49371.0,26866.30412600002,49370.0,52,27
Recycle,2,2,24912.628899999985,49373.0,26899.94941449999,49371.0,52,27
Recycle,2,2,26558.470824499993,49376.0,27060.10029100001,49394.0,52,27
Recycle,2,2,26632.250831499998,49385.0,27112.584669499993,49471.0,52,27
Recycle,2,2,26788.96299449999,49387.0,27282.3943945,49478.0,52,27
Recycle,2,2,26851.810540500006,49389.0,27306.888231499994,49480.0,52,27
Recycle,2,2,27042.8068575,49390.0,27373.678114999995,49482.0,52,27
Recycle,2,2,27161.170570999995,49466.0,27389.27063150001,49484.0,52,27
Recycle,2,2,27185.69349050001,49477.0,27431.702557500008,49487.0,52,27
Recycle,2,2,27211.315043999995,49481.0,27476.295499000033,49490.0,52,27
Recycle,2,2,27352.00220099998,49482.0,27532.084807500007,49517.0,52,27
Recycle,2,2,27400.601102999983,49486.0,27586.657166499983,49527.0,52,27
Recycle,2,2,27457.373586000005,49491.0,27694.03691750001,49528.0,52,27
Recycle,2,2,27477.279843000008,49523.0,27695.442588000024,49535.0,52,27
Recycle,2,2,27483.943331499995,49569.0,27707.005568499993,49580.0,52,27
Recycle,2,2,27536.30057450001,49577.0,27745.754772,49581.0,52,27
Recycle,2,2,27596.980741999996,49577.0,27855.92173299999,49581.0,52,27
Recycle,2,2,27751.30484350001,49584.0,27953.926464,49583.0,52,27
Recycle,2,2,27861.72407550003,49592.0,27983.241837999998,49585.0,52,27
Recycle,2,2,27930.562394500008,49599.0,28061.563045000017,49621.0,52,27
Recycle,2,2,27981.537288,49608.0,28135.272899499996,49690.0,52,27
Recycle,2,2,28124.86216,49620.0,28182.411381,49718.0,52,27
Recycle,2,2,28156.26011999999,49625.0,28317.216754499987,49777.0,52,27
