EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
ViewHolder_ExcessiveMethodCalls,1,0,21146.773059000017,43010.0,21168.424152000018,43077.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21523.901469999997,43052.0,21451.60571800001,43155.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21536.536034000004,43071.0,21579.562504499983,43162.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21560.585763000006,43111.0,21597.566908500005,43170.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21575.61373499999,43112.0,21736.647362499996,43200.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21637.020963499992,43150.0,21783.527679,43204.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21651.872892999992,43157.0,21818.319305000008,43211.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21652.398843499985,43167.0,21846.41616150001,43211.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21668.836987000002,43195.0,21847.64158900001,43214.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21807.076354999997,43204.0,21879.17197150001,43254.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21852.651584499996,43207.0,21885.285024499986,43257.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21869.229824499987,43213.0,21934.668562000028,43257.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21923.744630999987,43214.0,21937.928522999984,43258.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21955.416001500016,43215.0,21939.96153550002,43264.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21961.29360799999,43249.0,22022.287280500004,43295.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,21979.577354999998,43249.0,22093.508989500002,43297.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22071.020744500005,43255.0,22185.039125499985,43301.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22205.108462499982,43259.0,22201.732709000018,43304.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22255.660536499985,43263.0,22228.564297,43324.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22293.595143500002,43269.0,22252.057835999993,43355.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22367.374107500003,43303.0,22310.81834750001,43398.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22481.567738500016,43306.0,22348.961069500005,43403.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22495.11879950001,43347.0,22400.881673,43405.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22561.416228000002,43358.0,22403.42131549998,43552.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23462.535991999986,43365.0,23505.068298999995,43646.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,20347.408140999996,40176.0,20446.438766500007,40284.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,20378.901150000027,40245.0,22810.177277500025,40286.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,20673.75813899999,40245.0,22919.845264000007,40349.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22019.156738999995,40252.0,22928.805718499993,40377.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22552.868082,40294.0,23096.231757999998,40397.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22563.474108500002,40321.0,23161.9387695,40401.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22590.111178500003,40344.0,23179.142543500006,40403.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,22703.313346000017,40399.0,23198.717600500015,40405.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23171.009132,40407.0,23202.140276500006,40441.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23272.412204,40441.0,23220.80766050001,40455.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23276.737582000012,40443.0,23274.801119999993,40457.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23389.802430999982,40445.0,23277.146091499984,40462.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23412.092495999997,40447.0,23288.609522,40468.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23526.32935150001,40447.0,23292.541920500018,40474.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23689.252154500013,40492.0,23402.535276000013,40492.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23727.946486500008,40502.0,23403.995967999996,40493.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23760.371232000012,40539.0,23448.759408000005,40495.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23815.241217,40552.0,23791.596368000006,40505.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23941.104743499985,40571.0,23869.24547999999,40550.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,23952.84310399999,40593.0,23917.944039500002,40558.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,24084.946663500003,40600.0,24237.739096999998,40593.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,24144.386437999983,40600.0,24310.432444500017,40607.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,24159.05156650001,40649.0,25580.824391999977,40654.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,24354.475002499996,40661.0,25666.837602499996,40755.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,26093.957676999988,40700.0,30817.315167000004,40757.0,37,14
ViewHolder_ExcessiveMethodCalls,1,0,20907.202426499996,41707.0,20522.47224300001,41766.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,21301.390954499995,41762.0,21362.993820500018,41849.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,23860.802193999996,41794.0,21514.7211105,41849.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,23966.990721500006,41795.0,21699.368777500003,41854.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,23975.197842500005,41801.0,21852.96120749999,41858.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24055.626469500003,41852.0,23472.710800000004,41899.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24075.94599649998,41852.0,23592.382577,41904.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24087.507472500012,41853.0,23892.289820500006,41904.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24123.21050999999,41858.0,23923.499621499985,41906.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24144.025225999998,41890.0,23928.70645799998,41952.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24238.293685499986,41897.0,23959.87083350002,41960.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24319.6563745,41899.0,24013.998938499983,41971.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24366.68957599999,41900.0,24034.027138499998,42000.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24405.331318,41902.0,24102.401939000014,42001.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24413.157451499992,41913.0,24140.254367000005,42001.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24418.9215755,41944.0,24174.419303500006,42002.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24451.25834450001,41953.0,24322.32456200002,42011.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24465.4934175,41954.0,24338.827084500008,42048.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24555.39890449999,41961.0,24341.414264500003,42055.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24574.097763999984,41995.0,24352.59504449999,42057.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24646.403254500012,41996.0,24496.89646,42098.0,48,14
ViewHolder_ExcessiveMethodCalls,1,0,24764.586344,41999.0,24607.141467499965,42103.0,48,14
