EGAP(s),# EGAPs fixed,# Hits on fixed code,Energy (before fix),Energy (after fix),Time (before fix),Time (after fix),# Total method calls,# Diff. method calls
Wakelock,1,6,11683.3659815,30954.0,19434.613314500002,42809.0,299,26
Wakelock,1,6,19110.703325499984,42858.0,19528.822184000004,42852.0,299,26
Wakelock,1,6,19198.21154799999,42900.0,19592.438885,42867.0,299,26
Wakelock,1,6,19368.452357999988,42945.0,19867.583463000003,42891.0,299,26
Wakelock,1,6,19412.524968499998,42946.0,20019.512151999992,42891.0,299,26
Wakelock,1,6,19501.260214500002,42954.0,20026.834139000006,42896.0,299,26
Wakelock,1,6,19559.51260949998,42992.0,20082.83528550001,42956.0,299,26
Wakelock,1,6,19560.745735499997,42997.0,20084.4563125,42978.0,299,26
Wakelock,1,6,19717.602706499998,42998.0,20088.841384499992,42995.0,299,26
Wakelock,1,6,19746.686941999997,42999.0,20107.441342000006,43000.0,299,26
Wakelock,1,6,19754.540772999986,43080.0,20133.16902099999,43007.0,299,26
Wakelock,1,6,19839.30806499998,43080.0,20154.505775,43048.0,299,26
Wakelock,1,6,19894.147973499996,43088.0,20194.71525000001,43050.0,299,26
Wakelock,1,6,19971.807448499992,43095.0,20214.057654000007,43052.0,299,26
Wakelock,1,6,20029.597627999996,43098.0,20242.14429299999,43063.0,299,26
Wakelock,1,6,20048.300598499998,43099.0,20268.008382,43094.0,299,26
Wakelock,1,6,20102.52582,43099.0,20297.75663549999,43098.0,299,26
Wakelock,1,6,20117.946831500012,43100.0,20300.340280999993,43100.0,299,26
Wakelock,1,6,20203.930577000006,43146.0,20328.177362,43101.0,299,26
Wakelock,1,6,20216.30970000001,43162.0,20566.428975500017,43151.0,299,26
Wakelock,1,6,20321.702961499996,43198.0,20619.82194049999,43160.0,299,26
Wakelock,1,6,20554.758311500016,43247.0,20758.79091350001,43196.0,299,26
Wakelock,1,6,20554.916972,43293.0,20969.242119000013,43197.0,299,26
Wakelock,1,6,21246.79239149999,43294.0,21000.934751000004,43203.0,299,26
Wakelock,1,6,21274.58905749999,43392.0,22832.016398499996,43209.0,299,26
Wakelock,1,9,18462.622764500004,39945.0,18659.07399199999,39954.0,139,23
Wakelock,1,9,18594.123674999988,39989.0,18695.031371499983,39989.0,139,23
Wakelock,1,9,18702.128528500005,39992.0,18838.558844999992,39990.0,139,23
Wakelock,1,9,18710.361272500013,40007.0,18894.392700000004,40013.0,139,23
Wakelock,1,9,18740.160210500017,40032.0,19071.422462500006,40040.0,139,23
Wakelock,1,9,18767.722315499996,40040.0,19071.583659500007,40054.0,139,23
Wakelock,1,9,18770.2400105,40083.0,19133.34595650002,40086.0,139,23
Wakelock,1,9,18885.628951500006,40092.0,19136.523632499993,40091.0,139,23
Wakelock,1,9,18938.1379545,40093.0,19158.337506999997,40099.0,139,23
Wakelock,1,9,19083.843167500014,40117.0,19187.1352495,40142.0,139,23
Wakelock,1,9,19118.440091499993,40148.0,19188.356003000004,40146.0,139,23
Wakelock,1,9,19135.164926999994,40152.0,19342.74402899999,40146.0,139,23
Wakelock,1,9,19162.503714999995,40160.0,19348.766646500007,40152.0,139,23
Wakelock,1,9,19174.4073145,40184.0,19433.221659500003,40156.0,139,23
Wakelock,1,9,19211.012183999992,40184.0,19498.449217499994,40164.0,139,23
Wakelock,1,9,19267.700848,40191.0,19506.3992275,40169.0,139,23
Wakelock,1,9,19290.14460049999,40199.0,19545.539203500004,40176.0,139,23
Wakelock,1,9,19415.182457999985,40202.0,19811.985819999998,40184.0,139,23
Wakelock,1,9,19419.317316999994,40241.0,19857.12013749999,40187.0,139,23
Wakelock,1,9,19477.190553999993,40242.0,19874.6738835,40190.0,139,23
Wakelock,1,9,19790.84493249999,40249.0,20017.552393499995,40205.0,139,23
Wakelock,1,9,20017.669011999995,40283.0,20118.137193500006,40208.0,139,23
Wakelock,1,9,20271.915467499995,40293.0,20335.86038749999,40244.0,139,23
Wakelock,1,9,21071.724787999992,40301.0,20361.3389475,40250.0,139,23
Wakelock,1,9,21175.8732295,40487.0,20674.78024150001,40395.0,139,23
Wakelock,1,6,17832.84816100001,41400.0,18464.167508500013,41305.0,139,23
Wakelock,1,6,18098.84866849999,41447.0,18605.913199999988,41380.0,139,23
Wakelock,1,6,18162.564062500005,41453.0,18663.572456,41438.0,139,23
Wakelock,1,6,18241.091794000007,41487.0,18701.998331499995,41441.0,139,23
Wakelock,1,6,18503.901989999995,41491.0,18710.014451,41481.0,139,23
